n;id;age;gender;foreigner;country_orig;orig_in_zone;mpio_orig;resid_in_zone;mpio_resid;resid_in_dept;years_resid;activity;sector;econ_sector;educ;env_home;dwel_type;wages_smmv;opp_city_nat;for_wet_pub;junt_loc_ef;partic_com
721;541;55;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Chía;TRUE;15;employee;public;Public administration;Specialization;Suburb;Property;10;2;4;2;3
722;4312;25;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Commerce;Secundary (bachillerato);Urban;Property;3;2;4;2;2
723;544;26;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;26;employee;public;Transport;Pregraduate;Urban;Family;8;4;5;1;1
724;4305;57;female;FALSE;Colombia;FALSE;Ciénaga;TRUE;Bogotá D.C.;TRUE;23;employee;private or independant;Homemaker;Primary;Urban;Family;2;4;4;4;3
725;554;29;male;FALSE;Colombia;FALSE;Turbaco;TRUE;Bogotá D.C.;TRUE;22;employee;public;Public administration;Master;Urban;Property;6;3;1;1;1
726;4287;22;male;FALSE;Colombia;FALSE;Nemocón;FALSE;Nemocón;TRUE;17;employee;public;Commerce;Secundary (bachillerato);Urban;Property;1;3;5;5;2
727;4297;43;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;43;employee;private or independant;Plant production;Pregraduate;Urban;Property;5;5;1;1;3
728;680;57;male;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;7;employee;public;Public administration;Master;Urban;Rent;5;1;1;1;1
729;4293;40;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;4;employee;private or independant;Commerce;Pregraduate;Urban;Family;4;3;3;3;3
730;569;38;male;FALSE;Colombia;FALSE;Capitanejo;TRUE;Bogotá D.C.;TRUE;15;employee;private or independant;Construction;Secundary (bachillerato);Suburb;Property;2;NA;4;4;NA
731;543;24;male;FALSE;Colombia;FALSE;Sogamoso;TRUE;Bogotá D.C.;TRUE;6;employee;public;Public administration;Pregraduate;Urban;Family;10;2;3;1;2
732;4284;40;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;public;Personal services;Pregraduate;Urban;Property;7;3;3;2;2
733;4280;43;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;independent;private or independant;Education;Pregraduate;Urban;Property;6;3;3;3;3
734;570;58;female;FALSE;Colombia;FALSE;Ibagué;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Plant production;Secundary (bachillerato);Rural;Property;2;NA;2;3;NA
735;4275;52;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;52;independent;private or independant;Commerce;Pregraduate;Rural;Property;3;NA;2;3;3
736;4278;50;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Personal services;Specialization;Rural;Property;6;3;4;1;4
737;3658;36;female;FALSE;Colombia;FALSE;Muzo;TRUE;Bogotá D.C.;TRUE;28;employee;private or independant;Other;Secundary (bachillerato);Urban;Family;1;3;5;1;4
738;4276;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Education;Pregraduate;Urban;Property;9;3;3;3;3
739;582;46;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;46;independent;private or independant;Health;Pregraduate;Urban;Property;2;NA;2;3;NA
740;585;33;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;33;employee;private or independant;Education;Pregraduate;Urban;Property;1;NA;2;2;NA
741;586;53;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;53;independent;private or independant;Homemaker;Secundary (bachillerato);Suburb;Property;1;NA;3;2;NA
742;584;50;male;FALSE;Colombia;FALSE;Girardot;TRUE;Bogotá D.C.;TRUE;48;employee;private or independant;Other;Pregraduate;Urban;Rent;10;2;1;3;4
743;588;33;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;33;employee;private or independant;Other;Pregraduate;Urban;Property;3;NA;3;2;NA
744;4271;44;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;44;employee;public;Public administration;Specialization;Urban;Property;8;4;4;2;3
745;590;30;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Education;Pregraduate;Urban;Property;2;NA;2;2;NA
746;587;46;female;FALSE;Colombia;FALSE;Barrancabermeja;TRUE;Bogotá D.C.;TRUE;2;employee;private or independant;Other;Pregraduate;Urban;Rent;3;1;2;3;3
747;4266;37;male;FALSE;Colombia;FALSE;Pamplona;TRUE;Bogotá D.C.;TRUE;20;independent;private or independant;Other;Specialization;Urban;Property;6;1;3;3;3
748;599;68;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;68;independent;private or independant;Homemaker;Secundary (bachillerato);Urban;Property;2;NA;3;2;NA
749;4256;37;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;7;independent;private or independant;Commerce;Specialization;Urban;Family;3;1;4;2;1
750;3677;27;female;FALSE;Colombia;FALSE;Garzón;TRUE;Bogotá D.C.;TRUE;27;independent;private or independant;Other;Pregraduate;Urban;Rent;2;1;1;1;1
751;3666;53;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;35;independent;private or independant;Commerce;Pregraduate;Urban;Family;9;3;4;4;4
752;704;50;female;FALSE;Colombia;FALSE;Espinal;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Other;Specialization;Urban;Property;10;3;1;1;1
753;3675;34;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;34;independent;private or independant;Homemaker;Pregraduate;Urban;Rent;4;5;3;2;3
754;4255;44;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;39;independent;private or independant;Homemaker;Pregraduate;Rural;Property;5;3;3;3;3
755;3673;23;female;FALSE;Colombia;FALSE;Palmira;TRUE;Bogotá D.C.;TRUE;3;employee;private or independant;Education;Master;Urban;Rent;3;4;2;4;3
756;3655;26;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;26;employee;private or independant;Other;Pregraduate;Urban;Rent;3;4;2;3;3
757;4221;35;male;FALSE;Colombia;FALSE;Villavicencio;TRUE;Bogotá D.C.;TRUE;33;independent;private or independant;Construction;Secundary (bachillerato);Urban;Rent;3;4;5;4;3
758;4248;43;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;41;employee;private or independant;Banks and Finance;Specialization;Urban;Family;5;3;3;3;3
759;630;53;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;private or independant;Transport;Pregraduate;Urban;Property;10;1;1;2;2
760;633;51;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;independent;private or independant;Transport;Secundary (bachillerato);Urban;Property;10;1;2;1;1
761;635;28;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;13;employee;private or independant;Transport;Secundary (bachillerato);Urban;Property;10;1;2;1;2
762;3659;47;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;47;employee;private or independant;Health;Specialization;Urban;Family;10;2;5;3;4
763;325;22;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;employee;private or independant;Other;Pregraduate;Urban;Rent;5;2;2;2;2
764;4243;34;male;FALSE;Colombia;FALSE;Gigante;TRUE;Bogotá D.C.;TRUE;13;employee;private or independant;Other;Secundary (bachillerato);Urban;Rent;1;3;1;1;3
765;4235;32;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;10;employee;private or independant;Commerce;Pregraduate;Urban;Rent;1;1;1;4;4
766;4244;26;male;FALSE;Colombia;FALSE;Montería;TRUE;Bogotá D.C.;TRUE;1;employee;private or independant;Transport;Pregraduate;Urban;Rent;2;2;3;3;3
767;649;60;male;FALSE;Colombia;FALSE;La Palma;TRUE;Bogotá D.C.;TRUE;40;employee;private or independant;Health;Specialization;Urban;Property;10;2;1;2;4
768;651;28;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;28;employee;private or independant;Construction;Master;Urban;Rent;4;1;5;1;1
769;660;34;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;37;employee;private or independant;Health;Specialization;Urban;Family;5;2;2;2;2
770;665;43;male;FALSE;Colombia;FALSE;Santa Marta;TRUE;Bogotá D.C.;TRUE;2;employee;public;Banks and Finance;Specialization;Urban;Rent;6;4;4;4;3
771;661;59;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;42;independent;private or independant;Construction;Master;Urban;Rent;10;1;4;4;2
772;662;45;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Transport;Pregraduate;Urban;Family;8;2;1;4;3
773;4242;84;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;78;independent;private or independant;Homemaker;Secundary (bachillerato);Urban;Family;4;3;3;3;3
774;3609;41;female;FALSE;Colombia;FALSE;Valencia;TRUE;Bogotá D.C.;TRUE;10;employee;public;Other;Pregraduate;Urban;Rent;3;2;1;3;3
775;4239;63;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;60;independent;private or independant;Other;Specialization;Urban;Family;7;2;3;2;3
776;3662;48;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;46;employee;private or independant;Commerce;Pregraduate;Urban;Property;3;2;1;3;3
777;3653;67;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;employee;public;Public administration;Pregraduate;Urban;Property;3;3;3;3;3
778;687;56;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;28;independent;public;Transport;Pregraduate;Urban;Property;10;4;2;2;3
779;4223;52;female;FALSE;Colombia;FALSE;Málaga;TRUE;Bogotá D.C.;TRUE;4;employee;private or independant;Other;Pregraduate;Urban;Rent;3;1;5;1;2
780;4220;43;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;43;employee;private or independant;Banks and Finance;Pregraduate;Urban;Rent;5;3;2;4;3
781;4230;18;male;FALSE;Colombia;FALSE;Montería;TRUE;Bogotá D.C.;TRUE;5;employee;public;Other;Secundary (bachillerato);Urban;Property;10;3;3;3;3
782;3633;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;independent;private or independant;Commerce;Pregraduate;Urban;Property;3;NA;4;2;NA
783;702;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;52;employee;private or independant;Other;Specialization;Urban;Property;10;4;1;2;2
784;4218;23;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;6;employee;private or independant;Education;Specialization;Urban;Rent;4;3;3;2;3
785;4212;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Chía;TRUE;10;independent;private or independant;Transport;Pregraduate;Urban;Property;10;3;3;3;3
786;4144;49;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;49;independent;private or independant;Transport;Secundary (bachillerato);Urban;Property;4;4;4;3;3
787;4216;42;female;FALSE;Colombia;FALSE;Pitalito;TRUE;Bogotá D.C.;TRUE;4;employee;private or independant;Homemaker;Secundary (bachillerato);Urban;Property;3;1;2;3;4
788;722;24;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;employee;private or independant;Health;Pregraduate;Urban;Family;4;2;4;2;2
789;4029;30;male;FALSE;Colombia;FALSE;Albán;TRUE;Bogotá D.C.;TRUE;30;employee;public;Transport;Secundary (bachillerato);Rural;Rent;2;5;1;2;2
790;4213;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Other;Specialization;Urban;Property;10;3;4;3;3
791;735;60;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;60;independent;private or independant;Homemaker;Pregraduate;Urban;Property;4;3;5;3;3
792;3630;44;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;27;independent;private or independant;Personal services;Secundary (bachillerato);Urban;Property;3;2;4;4;4
793;729;32;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;32;employee;private or independant;Other;Specialization;Urban;Rent;4;2;1;2;1
794;4168;26;male;FALSE;Colombia;FALSE;Yopal;TRUE;Bogotá D.C.;TRUE;2;employee;private or independant;Commerce;Secundary (bachillerato);Urban;Property;2;4;3;4;2
795;4166;47;female;FALSE;Colombia;FALSE;Yopal;TRUE;Bogotá D.C.;TRUE;2;independent;public;Banks and Finance;Pregraduate;Urban;Rent;7;4;3;2;3
796;4163;34;female;FALSE;Colombia;FALSE;Pesca;TRUE;Bogotá D.C.;TRUE;3;employee;public;Education;Pregraduate;Urban;Rent;4;3;3;3;3
797;740;26;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;26;independent;private or independant;Other;Pregraduate;Urban;Property;7;5;1;4;3
798;4162;61;female;FALSE;Colombia;FALSE;Pesca;TRUE;Bogotá D.C.;TRUE;8;independent;private or independant;Other;Pregraduate;Urban;Rent;6;3;4;3;3
799;746;63;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;63;independent;private or independant;Other;Secundary (bachillerato);Urban;Property;7;3;2;4;2
800;4206;30;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;29;employee;private or independant;Transport;Specialization;Urban;Family;8;2;4;3;3
801;4211;44;male;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;4;independent;private or independant;Other;Pregraduate;Urban;Rent;7;3;4;2;4
802;752;55;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;55;independent;private or independant;Other;Specialization;Rural;Family;7;3;2;4;3
803;4203;33;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;33;employee;private or independant;Commerce;Pregraduate;Urban;Rent;7;2;4;3;3
804;4180;35;female;FALSE;Colombia;FALSE;Yopal;TRUE;Bogotá D.C.;TRUE;5;employee;private or independant;Commerce;Pregraduate;Urban;Rent;4;3;4;3;3
805;760;38;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;38;independent;public;Personal services;Pregraduate;Urban;Rent;2;3;3;2;4
806;3632;30;male;FALSE;Colombia;FALSE;Marmato;TRUE;Bogotá D.C.;TRUE;3;independent;private or independant;Health;Secundary (bachillerato);Urban;Rent;3;3;2;4;3
807;4196;54;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;48;employee;private or independant;Commerce;Pregraduate;Urban;Property;10;3;3;2;3
808;756;52;male;FALSE;Colombia;FALSE;Villavicencio;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Commerce;Secundary (bachillerato);Urban;Property;10;2;3;4;4
809;4175;26;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;8;employee;private or independant;Banks and Finance;Specialization;Urban;Family;6;2;5;3;4
810;763;38;female;FALSE;Colombia;FALSE;Palmira;TRUE;Bogotá D.C.;TRUE;20;employee;private or independant;Health;Specialization;Rural;Property;8;1;2;3;5
811;755;34;female;FALSE;Colombia;FALSE;Turbaco;TRUE;Bogotá D.C.;TRUE;11;employee;private or independant;Education;Pregraduate;Urban;Rent;2;1;1;2;4
812;758;64;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;21;employee;public;Education;Pregraduate;Suburb;Property;5;2;4;1;1
813;4181;48;male;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;58;employee;public;Public administration;Specialization;Urban;Family;5;3;3;3;3
814;4193;45;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;independent;private or independant;Personal services;Pregraduate;Urban;Property;4;3;2;2;3
815;3622;36;male;FALSE;Colombia;FALSE;Argelia;TRUE;Bogotá D.C.;TRUE;15;employee;private or independant;Other;Secundary (bachillerato);Urban;Rent;2;2;4;2;2
816;765;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;51;employee;public;Public administration;Doctorate;Urban;Property;10;3;3;3;3
817;4190;55;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;55;employee;private or independant;Commerce;Specialization;Urban;Property;9;4;2;4;4
818;767;50;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Chía;TRUE;4;employee;private or independant;Education;Specialization;Urban;Property;5;3;1;2;4
819;770;56;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;56;employee;private or independant;Education;Master;Urban;Rent;10;1;4;2;2
820;4183;42;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;employee;public;Public administration;Master;Rural;Property;6;3;3;3;3
821;4066;29;female;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;14;employee;private or independant;Health;Secundary (bachillerato);Urban;Rent;2;4;5;1;1
822;778;52;male;FALSE;Colombia;TRUE;Chía;TRUE;Chía;TRUE;4;employee;private or independant;Transport;Specialization;Urban;Property;10;3;2;3;4
823;779;53;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;53;employee;private or independant;Commerce;Specialization;Urban;Property;6;2;2;2;4
824;3600;61;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;61;independent;private or independant;Other;Pregraduate;Urban;Property;2;4;2;3;3
825;785;51;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;51;employee;private or independant;Personal services;Pregraduate;Urban;Property;5;3;2;3;3
826;4197;60;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Banks and Finance;Pregraduate;Urban;Property;6;3;3;3;3
827;3640;33;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;33;employee;private or independant;Banks and Finance;Pregraduate;Urban;Family;4;4;4;3;3
828;4174;76;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;56;independent;private or independant;Plant production;Specialization;Urban;Property;7;3;3;3;3
829;793;48;male;FALSE;Colombia;FALSE;Calarcá;TRUE;Bogotá D.C.;TRUE;18;independent;private or independant;Other;Specialization;Urban;Property;4;1;5;1;3
830;4173;56;female;FALSE;Colombia;FALSE;San José de Pare;TRUE;Bogotá D.C.;TRUE;38;employee;public;Animal production;Specialization;Urban;Property;6;3;4;3;3
831;3643;54;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;45;employee;private or independant;Homemaker;Primary;Urban;Rent;1;3;2;3;3
832;4172;53;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;53;independent;private or independant;Personal services;Specialization;Urban;Property;6;3;2;2;2
833;801;40;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;40;employee;public;Construction;Specialization;Urban;Property;8;2;2;2;4
834;4160;69;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;69;independent;private or independant;Other;Pregraduate;Urban;Property;3;3;1;2;3
835;804;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Chía;TRUE;8;independent;private or independant;Other;Pregraduate;Urban;Property;6;2;4;2;3
836;4140;38;male;FALSE;Colombia;FALSE;Neira;TRUE;Bogotá D.C.;TRUE;20;employee;private or independant;Commerce;Pregraduate;Urban;Rent;5;4;3;3;3
837;4112;58;female;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;20;independent;private or independant;Health;Secundary (bachillerato);Urban;Property;2;4;2;3;3
838;809;55;female;FALSE;Colombia;FALSE;Ibagué;TRUE;Bogotá D.C.;TRUE;15;employee;public;Education;Pregraduate;Urban;Rent;7;2;4;4;4
839;3641;69;male;FALSE;Colombia;FALSE;Guatavita;FALSE;Guatavita;TRUE;8;independent;private or independant;Other;Pregraduate;Rural;Property;7;1;2;4;4
840;802;50;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;employee;public;Health;Specialization;Urban;Rent;7;3;3;2;NA
841;638;55;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;10;employee;private or independant;Transport;Pregraduate;Urban;Property;7;1;1;3;2
842;827;52;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;52;employee;private or independant;Health;Pregraduate;Urban;Property;7;3;2;2;2
843;4132;54;male;FALSE;Colombia;FALSE;Neira;TRUE;Bogotá D.C.;TRUE;27;employee;private or independant;Other;Secundary (bachillerato);Urban;Property;5;3;3;3;3
844;4125;31;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;12;employee;private or independant;Education;Master;Suburb;Rent;8;3;4;3;1
845;3539;49;female;FALSE;Colombia;FALSE;Garagoa;TRUE;Bogotá D.C.;TRUE;10;employee;public;Public administration;Specialization;Urban;Property;5;3;1;2;4
846;843;58;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;58;independent;private or independant;Other;Specialization;Urban;Property;10;2;4;1;2
847;4126;48;female;FALSE;Colombia;FALSE;Manizales;TRUE;Bogotá D.C.;TRUE;22;employee;public;Education;Specialization;Urban;Property;6;4;2;5;5
848;4124;36;female;FALSE;Colombia;FALSE;Medellín;TRUE;Bogotá D.C.;TRUE;25;employee;public;Health;Pregraduate;Urban;Property;3;5;2;4;3
849;4115;39;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Chía;TRUE;6;employee;private or independant;Other;Specialization;Rural;Family;10;2;4;1;2
850;847;61;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;61;employee;public;Health;Pregraduate;Rural;Family;7;2;5;1;2
851;4117;70;male;FALSE;Colombia;FALSE;Neira;TRUE;Bogotá D.C.;TRUE;51;independent;private or independant;Other;Secundary (bachillerato);Urban;Property;3;1;3;3;3
852;4094;25;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;25;employee;private or independant;Construction;Pregraduate;Urban;Family;3;4;1;1;4
853;4093;33;female;FALSE;Colombia;FALSE;Choachí;TRUE;Bogotá D.C.;TRUE;12;employee;private or independant;Health;Secundary (bachillerato);Urban;Rent;1;4;3;3;3
854;3637;21;male;FALSE;Colombia;FALSE;Arauca;TRUE;Bogotá D.C.;TRUE;4;employee;private or independant;Other;Pregraduate;Rural;Property;3;3;3;3;3
855;846;64;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;64;employee;private or independant;Education;Master;Urban;Family;4;2;4;2;4
856;4088;61;male;FALSE;Colombia;FALSE;Popayán;TRUE;Bogotá D.C.;TRUE;20;independent;private or independant;Health;Specialization;Urban;Property;4;4;4;3;3
857;842;22;male;FALSE;Colombia;FALSE;Girardot;TRUE;Bogotá D.C.;TRUE;4;independent;private or independant;Commerce;Pregraduate;Urban;Family;10;2;5;2;3
858;4106;52;male;FALSE;Colombia;FALSE;Neira;TRUE;Bogotá D.C.;TRUE;30;employee;private or independant;Banks and Finance;Pregraduate;Urban;Property;5;1;4;5;5
859;862;38;male;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;28;independent;private or independant;Other;Specialization;Urban;Rent;4;2;2;3;2
860;3097;23;male;FALSE;Colombia;FALSE;Restrepo;TRUE;Bogotá D.C.;TRUE;15;employee;public;Public administration;Pregraduate;Urban;Property;3;3;1;3;4
861;859;48;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;48;employee;public;Health;Pregraduate;Urban;Property;6;3;4;2;3
862;865;34;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;34;employee;private or independant;Personal services;Pregraduate;Urban;Rent;3;3;2;3;3
863;864;55;male;FALSE;Colombia;FALSE;Ibagué;TRUE;Bogotá D.C.;TRUE;16;employee;private or independant;Commerce;Specialization;Urban;Rent;8;3;2;2;3
864;4025;75;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;75;independent;private or independant;Homemaker;Secundary (bachillerato);Urban;Property;3;4;2;3;3
865;3547;68;female;FALSE;Colombia;FALSE;Tasco;FALSE;Guatavita;TRUE;8;independent;private or independant;Commerce;Secundary (bachillerato);Rural;Property;5;1;5;2;2
866;3628;31;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;31;employee;private or independant;Personal services;Pregraduate;Urban;Family;4;4;4;3;2
867;4049;38;female;FALSE;Colombia;FALSE;Choachí;TRUE;Bogotá D.C.;TRUE;15;employee;private or independant;Health;Specialization;Urban;Property;3;3;2;3;3
868;863;49;male;FALSE;Colombia;FALSE;Girardot;TRUE;Bogotá D.C.;TRUE;48;employee;private or independant;Health;Pregraduate;Urban;Rent;10;4;1;3;3
869;4039;52;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;52;independent;private or independant;Health;Master;Urban;Property;10;1;3;3;4
870;3620;28;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;14;employee;private or independant;Transport;Specialization;Rural;Property;3;5;4;1;1
871;4057;85;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;65;independent;private or independant;Other;Secundary (bachillerato);Rural;Property;2;2;2;1;3
872;4061;28;male;FALSE;Colombia;FALSE;Acacías;TRUE;Bogotá D.C.;TRUE;1;employee;private or independant;Public administration;Pregraduate;Urban;Rent;4;1;3;2;3
873;4069;22;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;employee;private or independant;Other;Pregraduate;Rural;Property;9;4;3;2;4
874;4060;65;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;65;employee;public;Education;Pregraduate;Urban;Property;7;4;3;3;4
875;878;65;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;65;independent;private or independant;Other;Pregraduate;Urban;Property;3;3;2;3;3
